token,entity
nacystelyn,pharmacologic_substance
seborrhea,disease_or_syndrome
udders,anatomy
senkyunolide,pharmacologic_substance
frusemide,drug
kb004,drug
bms-911543,pharmacologic_substance
dms612,pharmacologic_substance
dihydroergocristine,drug
metaplasia,disease
multi,disease
suffering,disease
leukocytopenia,disease_or_syndrome
pge2,pharmacologic_substance
arginine,pharmacologic_substance
nifedipine,pharmacologic_substance
adenoma,neoplastic_process
dihydroergotoxine,drug
laurocapram,drug
dfmo,pharmacologic_substance
antler,body_part_organ_or_organ_component
hypersplenism,disease
pneumonitis,disease
nobf,pharmacologic_substance
somatostatin-14,pharmacologic_substance
2-methyl-1-propanol,pharmacologic_substance
tetrahydrofolate,pharmacologic_substance
dichlorodiammineplatinum,pharmacologic_substance
lactoperoxidase,pharmacologic_substance
3beta-hydroxy-5alpha-pregnan-20-one,pharmacologic_substance
l-phenylalanine,drug
dpn,pharmacologic_substance
apd,drug
remifentanil,drug
pt-141,drug
glaucoma,disease_or_syndrome
methamphetamine,drug
prostates,anatomy
rolipram,pharmacologic_substance
xanthomatosis,disease
arachnoiditis,disease
pyrite,pharmacologic_substance
cc-5013,pharmacologic_substance
trenbolone,pharmacologic_substance
acetabulum,anatomy
romiplostim,pharmacologic_substance
penis,body_part_organ_or_organ_component
sdm,pharmacologic_substance
cyclopent,drug
myocardia,anatomy
rivastigmine,drug
blepharoptosis,disease
sculptra,pharmacologic_substance
aloin,pharmacologic_substance
talazoparib,drug
dichlorophen,drug
oxantel,pharmacologic_substance
lipodystrophy,disease_or_syndrome
silybin,drug
oxymetholone,drug
chlorotoxin,drug
d-mannose,drug
8-oxodgtp,pharmacologic_substance
rabdosiin,drug
benzamidoxime,pharmacologic_substance
guaiphenesin,drug
hyperthyroxinemia,disease
1-aminoadamantane,drug
det,pharmacologic_substance
papillomatosis,neoplastic_process
stapes,body_part_organ_or_organ_component
undernutrition,disease
cp-10,pharmacologic_substance
neratinib,pharmacologic_substance
salicin,drug
d609,pharmacologic_substance
sb-202190,drug
5-ethynyl-1-beta-d-arabinofuranosylcytosine,pharmacologic_substance
hyperostosis,disease_or_syndrome
bs-181,drug
tylosis,disease_or_syndrome
benzoylecgonine,drug
4-carboxyphenylglycine,drug
atiprimod,pharmacologic_substance
bremelanotide,pharmacologic_substance
megace,pharmacologic_substance
enuresis,disease
sempervirine,pharmacologic_substance
toxoflavin,pharmacologic_substance
diallylsulfide,pharmacologic_substance
nppb,pharmacologic_substance
daphnane,pharmacologic_substance
u50488,pharmacologic_substance
thyrogen,pharmacologic_substance
ubo-qic,drug
varicoceles,disease_or_syndrome
s02030,pharmacologic_substance
rhdnase,pharmacologic_substance
2-cyanoacetamide,drug
tetraplegia,disease_or_syndrome
ventriculus,anatomy
am6545,drug
sclerosis,disease
grafts,anatomy
veratridine,pharmacologic_substance
nefopam,pharmacologic_substance
ru486,pharmacologic_substance
hcg,drug
capillary,anatomy
gamma-fluoromethotrexate,pharmacologic_substance
tendons,body_part_organ_or_organ_component
6-aminochrysene,drug
hematoma,disease
budesonide,drug
19-nortestosterone,pharmacologic_substance
enterocolitis,disease
amobarbital,pharmacologic_substance
phenethylamine,drug
tesmilifene,pharmacologic_substance
fenofibrate,drug
razaxaban,drug
entecavir,drug
rasagiline,pharmacologic_substance
vardenafil,pharmacologic_substance
propacetamol,drug
epiphora,disease_or_syndrome
l-carnitine,drug
berberine,pharmacologic_substance
gliosarcoma,disease
diphosphates,drug
thioxanthine,drug
mpnst,neoplastic_process
gssg,drug
oligodendrogliomas,disease
velac,drug
thiobarbiturate,drug
msop,pharmacologic_substance
hives,disease_or_syndrome
aconite,pharmacologic_substance
morin,drug
oxymetazoline,drug
prilocaine,drug
strattera,pharmacologic_substance
camostat,pharmacologic_substance
lisuride,pharmacologic_substance
ligustilide,drug
carbaryl,pharmacologic_substance
carfentanil,pharmacologic_substance
etdo-p4,pharmacologic_substance
cabotegravir,pharmacologic_substance
picolinate,drug
deab,pharmacologic_substance
siguazodan,drug
safingol,drug
spiradoline,pharmacologic_substance
mk-0591,pharmacologic_substance
rocaglamide,drug
novalgetol,pharmacologic_substance
trimethylphloroglucinol,drug
toltrazuril,drug
cementoblast,body_part_organ_or_organ_component
rg3039,pharmacologic_substance
alpha-mem,pharmacologic_substance
proctolin,drug
npi-2358,pharmacologic_substance
chir-258,pharmacologic_substance
cefditoren,pharmacologic_substance
onconase,pharmacologic_substance
cervicitis,disease
diphenylmethane,pharmacologic_substance
mpt0b169,pharmacologic_substance
alphadione,pharmacologic_substance
diglycerides,pharmacologic_substance
pik-75,pharmacologic_substance
milatuzumab,pharmacologic_substance
l-carnosine,drug
fepo4,pharmacologic_substance
2-propanol,pharmacologic_substance
isoxsuprine,pharmacologic_substance
theophylline,drug
mercaptopurine,pharmacologic_substance
sphinganine,drug
hcg,pharmacologic_substance
capillary,body_part_organ_or_organ_component
cysteamine,pharmacologic_substance
buspirone,pharmacologic_substance
bisulfite,pharmacologic_substance
idarubicinol,pharmacologic_substance
5-iminodaunorubicin,pharmacologic_substance
immunotoxins,pharmacologic_substance
antimalarials,pharmacologic_substance
hemimelia,anatomy
hydroxyproline,drug
gemzar,pharmacologic_substance
arsenal,pharmacologic_substance
fasudil,drug
perospirone,pharmacologic_substance
dysphagia,disease
lenograstim,drug
spondyloarthropathies,disease
7-hydroxystaurosporine,pharmacologic_substance
zarnestra,drug
honokiol,pharmacologic_substance
quinupristin-dalfopristin,drug
acitretin,pharmacologic_substance
su11248,drug
tannins,pharmacologic_substance
porokeratosis,anatomy
polydactyly,anatomy
2-nitroimidazole,drug
gill,anatomy
adrenomedullin,drug
2-thiophenecarboxaldehyde,pharmacologic_substance
oxypeucedanin,pharmacologic_substance
opisthorchiasis,disease_or_syndrome
meniscus,body_part_organ_or_organ_component
trametinib,pharmacologic_substance
brexpiprazole,drug
phenergan,drug
bosutinib,pharmacologic_substance
vitiligo,disease_or_syndrome
snakebite,disease
ssaa09e2,drug
mk-6,pharmacologic_substance
apr-246,drug
otitis,disease_or_syndrome
lipoblastomas,disease
forodesine,drug
mgcd516,pharmacologic_substance
deferasirox,pharmacologic_substance
acetylcarnitine,pharmacologic_substance
heparinoids,pharmacologic_substance
mitoquinone,pharmacologic_substance
panhypopituitarism,disease_or_syndrome
methacholine,pharmacologic_substance
coughs,disease
sb-203580,pharmacologic_substance
antipain,drug
fpl-55712,drug
skf-96365,pharmacologic_substance
ym-58483,pharmacologic_substance
leishmaniases,disease
ada-scid,disease_or_syndrome
chalazion,disease
clonixin,drug
lysostaphin,drug
trans-asarone,pharmacologic_substance
adriblastin,drug
pindolol,pharmacologic_substance
butaclamol,drug
de-nol,drug
buprofezin,pharmacologic_substance
adenanthin,drug
okn-007,pharmacologic_substance
saclofen,pharmacologic_substance
phonophobia,disease
bursitis,disease
2-methoxyphenol,pharmacologic_substance
chordomas,disease
lithiasis,disease
dmtu,drug
tresaderm,pharmacologic_substance
carnosol,drug
r115866,pharmacologic_substance
ispronicline,drug
tele-methylhistamine,drug
nordazepam,drug
ascofuranone,drug
diphosphonates,drug
afutuzumab,pharmacologic_substance
bp-5-087,drug
beta-thalassemia,disease
topicycline,drug
predate,drug
diaziquone,drug
xeroderma,disease
a-7,pharmacologic_substance
dtic,pharmacologic_substance
pyrimethamine,pharmacologic_substance
dep,drug
dimercaprol,pharmacologic_substance
daunorubicin-dna,pharmacologic_substance
dmsa,pharmacologic_substance
fexofenadine,drug
rutaecarpine,drug
rutaecarpine,pharmacologic_substance
pnu-282987,pharmacologic_substance
vwf,pharmacologic_substance
nesiritide,pharmacologic_substance
4-damp,drug
lutenyl,drug
cephalotaxine,pharmacologic_substance
diphenylamine-2-carboxylate,pharmacologic_substance
mizoribine,drug
oxazolidinones,drug
thrombasthenia,disease
fenbendazole,pharmacologic_substance
serpentine,drug
hypoproteinemia,disease
adrenomedullin,pharmacologic_substance
cnqx,drug
r1881,drug
sacrum,anatomy
ssd,pharmacologic_substance
apap,drug
pd0325901,pharmacologic_substance
meprednisone,pharmacologic_substance
mods,disease
peitc,pharmacologic_substance
kanglaite,drug
glucans,drug
levocarnitine,pharmacologic_substance
berberrubine,drug
azoxystrobin,drug
didox,pharmacologic_substance
chlorophyllin,pharmacologic_substance
7-nitroindazole,pharmacologic_substance
daunoform,pharmacologic_substance
fluo-3,drug
liarozole,drug
farnesol,drug
vomer,body_part_organ_or_organ_component
pseudogout,disease_or_syndrome
rg108,pharmacologic_substance
cystinosis,disease_or_syndrome
eyelashes,anatomy
ipi-145,drug
ada-scid,disease
oca2,disease_or_syndrome
norharmane,drug
phenylethanol,drug
sitafloxacin,drug
thiopental,drug
p-hydroxyacetophenone,pharmacologic_substance
rotarix,drug
bms-986122,pharmacologic_substance
tbto,drug
piritramide,pharmacologic_substance
nemonapride,drug
d-apv,drug
mycetoma,disease
er-35795,drug
ileocolitis,disease
farletuzumab,drug
polyglactin,drug
peganine,drug
udenafil,drug
uk-1,pharmacologic_substance
cp-4055,drug
win55212-2,pharmacologic_substance
embeda,drug
bendamustin,pharmacologic_substance
peg-catalase,drug
orteronel,drug
tensilon,drug
perampanel,pharmacologic_substance
thenyldiamine,drug
6-thiohypoxanthine,pharmacologic_substance
xalkori,drug
n-hydroxy-phip,drug
nebacetin,drug
adenocarcinoma,neoplastic_process
lysozyme,pharmacologic_substance
abscesses,disease
busulphan,drug
haloperidol,drug
tunicamycin,drug
mesencephalon,body_part_organ_or_organ_component
otolith,anatomy
cadavers,anatomy
rickets,disease_or_syndrome
epipodophyllotoxin,pharmacologic_substance
papaverine,drug
stricture,disease
toes,body_part_organ_or_organ_component
tesmilifene,drug
telazol,drug
mepyramine,pharmacologic_substance
4-aminoantipyrine,drug
scopolamine,drug
pregabalin,pharmacologic_substance
tremors,disease
dasatinib,pharmacologic_substance
n-acetyl-l-cysteine,pharmacologic_substance
osteopenia,disease_or_syndrome
lys-glu,pharmacologic_substance
epo906,drug
polyarthralgia,disease_or_syndrome
methanethiosulfonate,pharmacologic_substance
digoxigenin,drug
hives,disease
lordosis,disease_or_syndrome
juzentaihoto,drug
entinostat,drug
fosfomycin,drug
b-14,drug
perazine,pharmacologic_substance
aggrastat,drug
silk,pharmacologic_substance
penfluridol,pharmacologic_substance
napabucasin,pharmacologic_substance
gonorrhea,disease
bradykinesia,disease
glisoxepide,drug
pdtc,pharmacologic_substance
darzalex,pharmacologic_substance
nyctalopia,disease
msgb,pharmacologic_substance
cc-122,pharmacologic_substance
forodesine,pharmacologic_substance
dota-biotin,drug
levocarnitine,drug
oleylamine,pharmacologic_substance
bitumen,pharmacologic_substance
setae,anatomy
minoxidil,pharmacologic_substance
sr141716,pharmacologic_substance
difluprednate,pharmacologic_substance
nvp-cgm097,drug
nsc-609699,drug
8-chloro-camp,pharmacologic_substance
8-cl-camp,pharmacologic_substance
trimethylhydroquinone,pharmacologic_substance
tenapanor,drug
paprotrain,drug
anastrozole,drug
danusertib,pharmacologic_substance
bms754807,drug
sulfanilamide,drug
caracemide,pharmacologic_substance
5-methylthioribose,pharmacologic_substance
deoxyspergualin,drug
decarbazine,drug
oxymorphone,drug
idp,pharmacologic_substance
9-phenanthrol,pharmacologic_substance
e1210,pharmacologic_substance
mgi-114,pharmacologic_substance
homocamptothecin,pharmacologic_substance
nerodilol,drug
rolofylline,pharmacologic_substance
sligrl,pharmacologic_substance
fosamax,drug
ro-32-0432,pharmacologic_substance
clevudine,drug
ggti-286,drug
mgs0008,pharmacologic_substance
alcar,pharmacologic_substance
penbutolol,drug
toctino,drug
eyebrows,anatomy
2-hydroxyestrone,pharmacologic_substance
multaq,pharmacologic_substance
gentiopicroside,pharmacologic_substance
tumors,neoplastic_process
lymphomas,disease
aspirin,pharmacologic_substance
sequelae,disease
vincristine,pharmacologic_substance
furadantine,drug
hmba,pharmacologic_substance
copper,drug
gamma-interferon,drug
teeth,body_part_organ_or_organ_component
epiandrosterone,pharmacologic_substance
sucrose,pharmacologic_substance
tiapamil,pharmacologic_substance
hyperuricemia,disease
reserpine,drug
beta-carotene,pharmacologic_substance
streptozotocine,drug
methyl-ccnu,drug
8-azaadenosine,drug
arabinofuranosylthymine,drug
as2o3,drug
trehalose,pharmacologic_substance
variola,disease_or_syndrome
genistein,pharmacologic_substance
ligament,tissue
pdt,pharmacologic_substance
gabapentin,pharmacologic_substance
forearms,body_part_organ_or_organ_component
gingerol,drug
ly315920,drug
carbogen,pharmacologic_substance
snc-80,pharmacologic_substance
dexamphetamine,drug
glanatec,drug
felypressin,drug
velpatasvir,drug
siltuximab,drug
zonisamide,drug
metaproterenol,pharmacologic_substance
22-oxacalcitriol,pharmacologic_substance
lenvatinib,pharmacologic_substance
ruptures,disease
tendinopathies,disease_or_syndrome
lixisenatide,drug
oligomycins,drug
paraganglioma,disease
tmp-smx,drug
apatinib,drug
phytochelatins,drug
cilostamide,drug
ataluren,drug
barbiturate,drug
dezocine,pharmacologic_substance
erysipelas,disease_or_syndrome
delta-valerolactam,drug
papilledema,disease
myoma,neoplastic_process
pentazocine,pharmacologic_substance
pholcodine,pharmacologic_substance
mtbe,pharmacologic_substance
entacapone,pharmacologic_substance
ski-606,drug
ehrlichiosis,disease
dasabuvir,drug
pancreatoblastoma,disease
pervanadate,drug
anetoderma,disease
2-amino-5-nitrothiazole,drug
de-nol,pharmacologic_substance
4-nerolidylcatechol,pharmacologic_substance
menaquinone-7,pharmacologic_substance
eapb0503,drug
11-dehydrocorticosterone,pharmacologic_substance
bq788,pharmacologic_substance
atiprimod,drug
vx-001,drug
rilutek,pharmacologic_substance
genotropin,drug
cinnoxicam,drug
armodafinil,pharmacologic_substance
solcoseryl,pharmacologic_substance
decapeptyl,pharmacologic_substance
tri-dap,pharmacologic_substance
gyki-52466,pharmacologic_substance
bms-906024,drug
osteosclerosis,disease_or_syndrome
liver,body_part_organ_or_organ_component
alopecia,disease
formalin,drug
indomethacin,pharmacologic_substance
falls,disease
beriberi,disease
esophagus,anatomy
amsa,pharmacologic_substance
isoproterenol,pharmacologic_substance
endocarditis,disease
iproniazid,drug
erythromelalgia,disease_or_syndrome
doca,pharmacologic_substance
atenolol,drug
dadle,pharmacologic_substance
neca,pharmacologic_substance
bacteremias,disease_or_syndrome
u46619,drug
dipa,pharmacologic_substance
temozolomide,pharmacologic_substance
miadmsa,drug
t140,drug
mepyramine,drug
doxazosin,pharmacologic_substance
semprex,drug
alefacept,drug
lopinavir,drug
indiplon,pharmacologic_substance
pemetrexed,pharmacologic_substance
pt-141,pharmacologic_substance
oxeladin,pharmacologic_substance
diaphyses,anatomy
bapta-am,pharmacologic_substance
catechin,pharmacologic_substance
pd184352,pharmacologic_substance
contusions,disease
u-46619,drug
ichthyoses,disease
nevus,neoplastic_process
tioguanine,pharmacologic_substance
nelarabine,drug
atgam,pharmacologic_substance
accutane,drug
revlimid,pharmacologic_substance
pernio,disease_or_syndrome
enteritis,disease
angioma,neoplastic_process
2-aminopyrimidine,pharmacologic_substance
camkk,drug
dihydro-beta-erythroidine,drug
4-tert-butylpyrocatechol,drug
metric,drug
ddi,pharmacologic_substance
cramp,disease
m-cpp,pharmacologic_substance
palbociclib,pharmacologic_substance
avitriptan,drug
setrobuvir,drug
botulism,disease
amoxapine,pharmacologic_substance
tebuconazole,pharmacologic_substance
barotrauma,disease
b115,pharmacologic_substance
perineum,anatomy
etdo-p4,drug
compstatin,drug
iodine-127,drug
hylan,drug
beta-carboline,pharmacologic_substance
loxoprofen,pharmacologic_substance
camphor,pharmacologic_substance
isometamidium,pharmacologic_substance
hyoscyamine,pharmacologic_substance
delmopinol,drug
tideglusib,pharmacologic_substance
ipratropium,pharmacologic_substance
mln4924,pharmacologic_substance
procyanidin,pharmacologic_substance
dimethyldioctadecylammonium,drug
felinine,pharmacologic_substance
spiromustine,pharmacologic_substance
1-phenyl-2-decanoylamino-3-morpholino-1-propanol,pharmacologic_substance
morpholinodaunomycin,drug
dolasetron,pharmacologic_substance
ethinylestradiol-3-sulfate,pharmacologic_substance
methysergide,drug
metaraminol,drug
e1210,drug
era-923,pharmacologic_substance
xr9576,drug
theonyltrifluoroacetone,drug
9-hydroxy-risperidone,drug
novocaine,drug
trichiasis,disease
alpha-terpineol,pharmacologic_substance
laudanosine,pharmacologic_substance
citrate,drug
vincristine,drug
2-deoxy-d-glucose,pharmacologic_substance
pseudolymphomas,disease
tetracaine,drug
lhrh,pharmacologic_substance
diazo-mapd,drug
choline,pharmacologic_substance
limbs,anatomy
prochlorperazine,drug
talisomycin,drug
anaplasia,neoplastic_process
tooth,anatomy
cyproterone,pharmacologic_substance
narasin,pharmacologic_substance
indigestion,disease
p-chlorophenylalanine,drug
alemtuzumab,pharmacologic_substance
pa-457,drug
gallbladder,anatomy
lappaconitine,pharmacologic_substance
fh3,disease
hydroxyfasudil,pharmacologic_substance
diphenylamine-2-carboxylate,drug
enalapril,pharmacologic_substance
gmbs,pharmacologic_substance
tetraethylammonium,drug
methylenecyclopropane,pharmacologic_substance
j-107088,pharmacologic_substance
ptk-787,pharmacologic_substance
beta-lactams,drug
sto-609,drug
ticagrelor,drug
taurolidine,drug
olaparib,drug
irx-2,drug
neurofibrosarcoma,disease
u-73122,drug
cardiotoxicities,disease
betoptic,drug
prohibit,pharmacologic_substance
epclusa,pharmacologic_substance
sarcopenia,disease_or_syndrome
ulipristal,pharmacologic_substance
siderosis,disease_or_syndrome
fulvestrant,drug
azd3241,drug
oxyresveratrol,drug
exemestane,drug
am-2201,pharmacologic_substance
22q112ds,disease_or_syndrome
enbrel,drug
cbv-tp,drug
macrocephaly,anatomy
entacapone,drug
sw033291,pharmacologic_substance
oca2,disease
simmiparib,pharmacologic_substance
n-acetyl-p-benzoquinoneimine,drug
cyclospasmol,drug
vinepidine,pharmacologic_substance
noroxycodone,drug
jnj-40411813,drug
nitrol,drug
rimcazole,pharmacologic_substance
methylazoxymethanol,drug
ppmp,pharmacologic_substance
edelfosine,drug
pentastarch,pharmacologic_substance
acetoacetanilide,drug
noma,disease_or_syndrome
drospirenone,pharmacologic_substance
acetophenazine,drug
glycogenosis,disease
quinagolide,drug
seborrhea,disease
hydrocodone,pharmacologic_substance
septilin,drug
eumycetoma,disease
my3,drug
camptothecine,pharmacologic_substance
tetrahydroisoquinolines,pharmacologic_substance
graft,anatomy
superinfection,disease_or_syndrome
tolazoline,pharmacologic_substance
progestins,drug
inosine,drug
tobramycin,drug
beta-carotene,drug
5-iminodaunorubicin,drug
trp-p-2,pharmacologic_substance
bha,pharmacologic_substance
glucamide,drug
d-ap7,drug
myoepitheliomas,disease
cytembena,drug
isopilocarpine,drug
8-hydroxyquinoline,drug
ethylmorphine,pharmacologic_substance
sams,disease
coumarins,drug
kp-1212,pharmacologic_substance
4-aminoantipyrine,pharmacologic_substance
semax,pharmacologic_substance
bendamustine,pharmacologic_substance
mianserin,drug
rc-3095,drug
azidothymidine,pharmacologic_substance
amenorrhea,disease
ulvan,pharmacologic_substance
caa,disease_or_syndrome
nilotinib,pharmacologic_substance
elephantiasis,disease
paragangliomas,neoplastic_process
acalabrutinib,pharmacologic_substance
dicoumarin,drug
c283,drug
5-hydroxydecanoate,drug
grazoprevir,drug
vemurafenib,drug
dolutegravir,pharmacologic_substance
idebenone,pharmacologic_substance
exophthalmos,disease
ag-221,pharmacologic_substance
vanillin,drug
citral,drug
hexenal,pharmacologic_substance
canagliflozin,drug
cellulase,pharmacologic_substance
vfend,drug
salutaridine,pharmacologic_substance
4-quinolones,pharmacologic_substance
demecolcine,drug
fluvoxamine,drug
z-asp-ch2-dcb,drug
skf-96365,drug
dexpanthenol,drug
fluspirilene,drug
trelagliptin,pharmacologic_substance
pythiosis,disease_or_syndrome
resatorvid,drug
ag1024,pharmacologic_substance
lysostaphin,pharmacologic_substance
flupentixol,drug
dysautonomia,disease_or_syndrome
prednicarbate,pharmacologic_substance
micrognathia,anatomy
selumetinib,drug
ra-700,drug
cilastatin,drug
phosphalugel,pharmacologic_substance
tularemia,disease
ad0157,pharmacologic_substance
sotradecol,drug
choriocarcinomas,neoplastic_process
vaporub,drug
hydantoins,drug
irisquinone,drug
cl316243,drug
y-39983,drug
uvaol,drug
acenocoumarol,drug
ci-1040,pharmacologic_substance
antispasmodics,drug
majorenolide,drug
glu-trp,pharmacologic_substance
benexate,drug
auramycinone,drug
cid2950007,pharmacologic_substance
sila-venlafaxine,drug
brucite,pharmacologic_substance
p-aminobenzamidine,drug
y93,pharmacologic_substance
ovary,body_part_organ_or_organ_component
anemias,disease_or_syndrome
cirrhosis,disease
neutropenia,disease
depression,disease
neomycin,drug
fazarabine,pharmacologic_substance
dextrose,pharmacologic_substance
paraformaldehyde,drug
cyclophosphamide,drug
adriblastine,drug
cyclosporin,pharmacologic_substance
ok-432,drug
diuretic,pharmacologic_substance
sucralfate,drug
mezlocillin,drug
hycanthone,drug
laxatives,drug
polyploidy,cell_or_molecular_dysfunction
tongue,body_part_organ_or_organ_component
crystalloid,drug
pneumonias,disease
nimodipine,pharmacologic_substance
tak-220,drug
olopatadine,drug
cymbalta,drug
bms-184476,drug
hydroxyapatite,drug
dids,pharmacologic_substance
encephalitozoonosis,disease_or_syndrome
steatohepatitis,disease
feathers,anatomy
salicylaldoxime,drug
velban,drug
periphlebitis,disease
ketoprofen,pharmacologic_substance
hyperaldosteronism,disease_or_syndrome
prodigiosin,drug
hesperidin,drug
amebiasis,disease_or_syndrome
tecovirimat,drug
harvoni,pharmacologic_substance
abt-263,drug
carbidopa,pharmacologic_substance
sr140333,drug
pectins,drug
dextroamphetamine,drug
deazaadenosine,drug
cilostamide,pharmacologic_substance
osteitis,disease_or_syndrome
uc84,drug
z-asp-ch2-dcb,pharmacologic_substance
cepharanthin,pharmacologic_substance
bo-2727,drug
levosimendan,drug
xatral,pharmacologic_substance
adenopathies,disease_or_syndrome
chalazia,disease_or_syndrome
quadriplegia,disease_or_syndrome
lumin,drug
pyrophosphates,pharmacologic_substance
nimorazole,drug
anthrapyrazolone,pharmacologic_substance
azepexole,drug
oviducts,body_part_organ_or_organ_component
clemizole,drug
pneumocystosis,disease
azd1152,pharmacologic_substance
choriocarcinomas,disease
zytiga,pharmacologic_substance
glucitol,pharmacologic_substance
thiamylal,drug
kh-1060,pharmacologic_substance
snc162,drug
kasugamycin,drug
hb-2,pharmacologic_substance
wt3,disease_or_syndrome
sc58236,drug
difenidol,pharmacologic_substance
benoxinate,pharmacologic_substance
mk0431,drug
sta-4783,drug
5-formyltetrahydrofolate,drug
diglycerides,drug
cid2950007,drug
edivoxetine,pharmacologic_substance
mepact,drug
cfi-400945,drug
hypercoagulability,disease
nsc-192965,pharmacologic_substance
anhydromaggiemycin,pharmacologic_substance
laurocapram,pharmacologic_substance
amiodarone,drug
hyperglycemia,disease
fibrin,pharmacologic_substance
glu-ara-c,pharmacologic_substance
iris,body_part_organ_or_organ_component
conjunctivitis,disease
papillomas,disease
chelators,drug
d-penicillamine,pharmacologic_substance
fingernail,body_part_organ_or_organ_component
dimethylsulphoxide,drug
phenothiazines,drug
lactulose,pharmacologic_substance
telangiectasias,disease
sti,disease_or_syndrome
itopride,pharmacologic_substance
dilazep,pharmacologic_substance
lobeline,drug
carbocysteine,pharmacologic_substance
besnoitiosis,disease_or_syndrome
trismus,disease
fluoroquinolones,drug
captopril,drug
cyclopropane,pharmacologic_substance
ag1478,pharmacologic_substance
antimitotics,drug
pleocytosis,disease_or_syndrome
isoflurane,drug
cephalothin,drug
cyanoacetamide,drug
pycnogenol,pharmacologic_substance
keloid,anatomy
tinea,disease
paresthesia,disease_or_syndrome
348u87,pharmacologic_substance
paritaprevir,pharmacologic_substance
vildagliptin,pharmacologic_substance
levonorgestrel,pharmacologic_substance
syrosingopine,pharmacologic_substance
benoxacor,pharmacologic_substance
ly3023414,pharmacologic_substance
nociceptor,body_part_organ_or_organ_component
bi2536,pharmacologic_substance
abt263,drug
neulasta,pharmacologic_substance
pci-32765,pharmacologic_substance
berbamine,pharmacologic_substance
fm100,pharmacologic_substance
thyroids,anatomy
oxyfluorfen,pharmacologic_substance
hirudin,drug
dihydroethidium,pharmacologic_substance
hyperinsulinism,disease_or_syndrome
cispentacin,drug
ardeparin,pharmacologic_substance
butylurea,pharmacologic_substance
dimethylethanolamine,drug
enantone,pharmacologic_substance
linsitinib,pharmacologic_substance
herceptin,drug
nppa,drug
kpt-335,pharmacologic_substance
cx-5461,drug
ots,pharmacologic_substance
pythiosis,disease
suppuration,disease
osteonecroses,disease
bradycardias,disease
arabinosyl-5-azacytosine,pharmacologic_substance
droxidopa,pharmacologic_substance
osteoporoses,disease_or_syndrome
diflunisal,pharmacologic_substance
phenprocoumon,pharmacologic_substance
auraptene,drug
lawsone,pharmacologic_substance
bms-777607,drug
gimatecan,pharmacologic_substance
psa-tricom,drug
cevimeline,pharmacologic_substance
ghrp-2,drug
bromosulfophthalein,drug
gamma-hexachlorocyclohexane,drug
tapso,pharmacologic_substance
melagatran,drug
mampdm,pharmacologic_substance
nkp-1339,pharmacologic_substance
vescalagin,drug
alternariol,pharmacologic_substance
7-adtc,pharmacologic_substance
sb-207266,drug
distigmine,drug
ontak,pharmacologic_substance
ibandronate,drug
leupeptin,drug
neoplasms,disease
alopecia,disease_or_syndrome
maggiemycin,drug
progesterone,drug
reserpine,pharmacologic_substance
6-hydroxydopamine,pharmacologic_substance
phobia,disease
diphenoxylate,pharmacologic_substance
o-phthaldialdehyde,drug
meningioma,disease
meningioma,neoplastic_process
aripiprazole,pharmacologic_substance
lenalidomide,pharmacologic_substance
viscera,body_part_organ_or_organ_component
diaphragm,body_part_organ_or_organ_component
sb216763,pharmacologic_substance
tbp,pharmacologic_substance
tibias,anatomy
4-methylumbelliferone,pharmacologic_substance
abt-594,pharmacologic_substance
cholecalciferol,pharmacologic_substance
ro-41-5253,pharmacologic_substance
das,pharmacologic_substance
ureter,body_part_organ_or_organ_component
cementoblasts,body_part_organ_or_organ_component
piperacetazine,pharmacologic_substance
3tc,pharmacologic_substance
bulla,disease
americium,drug
lqfm030,pharmacologic_substance
edoxaban,drug
delafloxacin,drug
desmoid,neoplastic_process
laminaran,pharmacologic_substance
brucellosis,disease_or_syndrome
polydatin,drug
naltrindole,pharmacologic_substance
hylan,pharmacologic_substance
3-hydroxypyridine,drug
cystadenocarcinoma,disease
neurotmesis,disease
peficitinib,drug
siguazodan,pharmacologic_substance
peedck,pharmacologic_substance
f-ara-amp,pharmacologic_substance
reproterol,drug
fluvoxamine,pharmacologic_substance
novantron,drug
yvad-cho,pharmacologic_substance
carboxyphenylglycine,drug
d-gluconate,drug
acetamidine,drug
cerulein,pharmacologic_substance
dihydroisoquinoline,pharmacologic_substance
endometrioma,disease
episcleritis,disease_or_syndrome
cerumenolytic,drug
hyaluromycin,pharmacologic_substance
glucal,drug
yervoy,drug
pm01183,drug
bibw2992,drug
tagrisso,pharmacologic_substance
cb-5083,pharmacologic_substance
mrs2179,pharmacologic_substance
skf-525a,pharmacologic_substance
pratosartan,drug
tresaderm,drug
oviduct,body_part_organ_or_organ_component
sativex,drug
furamidine,pharmacologic_substance
enthesopathies,disease_or_syndrome
caudatus,body_part_organ_or_organ_component
achromatopsia,disease
lqb-118,pharmacologic_substance
laudanosine,drug
elephantopin,drug
adriamycinol,drug
auramycinone,pharmacologic_substance
amygdalin,drug
arestin,drug
bms-906024,pharmacologic_substance
thrombin,pharmacologic_substance
caffeine,drug
dihydropyridine,pharmacologic_substance
granulomas,disease
insulin,pharmacologic_substance
hyperthermia,disease
tiapamil,drug
compazine,drug
ara-h,pharmacologic_substance
brainstem,body_part_organ_or_organ_component
phenoxybenzamine,pharmacologic_substance
podophyllotoxin,pharmacologic_substance
hemophilia,disease_or_syndrome
knee,body_part_organ_or_organ_component
dysgerminoma,neoplastic_process
